Industry Group,Symbol,Company Name,Date,Open,High,Low,Close,Change,% Change,Volume Traded,Value Traded (SAR),No. of Trades
Banks,1120,Al Rajhi Bank,04/09/2012,44.22,44.39,43.90,44.28,0.00,0.00,1412549,62436407.25,671,
Banks,1120,Al Rajhi Bank,05/09/2012,44.22,44.39,43.90,44.28,0.00,0.00,1214167,53651118.25,650,
Banks,1120,Al Rajhi Bank,08/09/2012,44.39,44.55,44.22,44.58,0.30,0.68,1737390,77203166.75,671,
Banks,1120,Al Rajhi Bank,09/09/2012,44.55,44.55,44.22,44.43,-0.15,-0.34,1014060,45003922.5,563,
Banks,1120,Al Rajhi Bank,10/09/2012,44.39,44.39,44.06,44.28,-0.15,-0.34,1071721,47484598.75,558,
Banks,1120,Al Rajhi Bank,11/09/2012,44.06,44.39,44.06,44.28,0.00,0.00,1126727,49924786.75,610,
Banks,1120,Al Rajhi Bank,12/09/2012,44.06,44.39,44.06,44.28,0.00,0.00,1844673,81585648.5,731,
Banks,1120,Al Rajhi Bank,15/09/2012,44.22,44.39,44.06,44.43,0.15,0.34,1665830,73869127.5,628,
Banks,1120,Al Rajhi Bank,16/09/2012,44.39,44.39,44.06,44.28,-0.15,-0.34,1439243,63795927.5,713,
Banks,1120,Al Rajhi Bank,17/09/2012,44.39,44.39,44.06,44.13,-0.15,-0.34,1523745,67485638.5,726,
Banks,1120,Al Rajhi Bank,18/09/2012,44.22,44.22,43.90,43.98,-0.15,-0.34,2695782,118662276.25,901,
Banks,1120,Al Rajhi Bank,19/09/2012,43.90,44.22,43.90,43.83,-0.15,-0.34,2235589,98454254.75,1023,
Banks,1120,Al Rajhi Bank,22/09/2012,43.90,43.90,43.74,43.98,0.15,0.34,1302938,57193597,582,
Banks,1120,Al Rajhi Bank,24/09/2012,43.90,43.90,43.25,43.68,-0.30,-0.68,2133106,92852800.5,828,
Banks,1120,Al Rajhi Bank,25/09/2012,43.57,43.74,43.09,43.37,-0.31,-0.71,2236358,96941096.75,841,
Banks,1120,Al Rajhi Bank,26/09/2012,43.41,43.57,42.76,42.92,-0.45,-1.04,2208043,95377069,894,
Banks,1120,Al Rajhi Bank,29/09/2012,42.76,42.76,42.27,42.62,-0.30,-0.70,2037930,86893443.25,931,
Banks,1120,Al Rajhi Bank,30/09/2012,42.60,42.92,42.44,42.77,0.15,0.35,1692945,72410709,826,
Banks,1120,Al Rajhi Bank,01/10/2012,43.09,43.25,43.09,43.07,0.30,0.70,1235133,53304481.75,749,
Banks,1120,Al Rajhi Bank,02/10/2012,43.25,43.41,42.60,42.92,-0.15,-0.35,2462962,106001144.75,906,
Banks,1120,Al Rajhi Bank,03/10/2012,42.76,43.09,42.60,42.77,-0.15,-0.35,1551488,66461994.25,704,
Banks,1120,Al Rajhi Bank,06/10/2012,42.76,43.09,42.60,42.77,0.00,0.00,1498616,64389334.25,585,
Banks,1120,Al Rajhi Bank,07/10/2012,42.76,42.92,42.44,42.77,0.00,0.00,1682640,71853258,786,
Banks,1120,Al Rajhi Bank,08/10/2012,42.60,42.76,40.32,41.58,-1.19,-2.78,11535766,475897855,3126,
Banks,1120,Al Rajhi Bank,09/10/2012,41.62,41.79,40.81,41.12,-0.46,-1.11,3098324,127668810,1149,
Banks,1120,Al Rajhi Bank,10/10/2012,41.14,42.11,40.97,42.18,1.06,2.58,2676385,111332589.25,1127,
Banks,1120,Al Rajhi Bank,13/10/2012,42.11,42.27,41.30,41.42,-0.76,-1.80,1833603,76465015.25,1021,
Banks,1120,Al Rajhi Bank,14/10/2012,41.14,41.30,40.81,40.97,-0.45,-1.09,1992451,81760038,1071,
Banks,1120,Al Rajhi Bank,15/10/2012,40.81,41.95,40.81,41.58,0.61,1.49,3701260,153147001,1368,
Banks,1120,Al Rajhi Bank,16/10/2012,41.46,42.44,41.46,42.18,0.60,1.44,3139784,132083876.5,1233,
Banks,1120,Al Rajhi Bank,17/10/2012,42.27,42.60,42.11,42.33,0.15,0.36,2711247,114963209.25,937,
Banks,1120,Al Rajhi Bank,20/10/2012,42.27,42.44,42.11,42.33,0.00,0.00,2032160,85874517.5,774,
Banks,1120,Al Rajhi Bank,21/10/2012,42.27,42.44,42.11,42.18,-0.15,-0.35,1115818,47210818.25,535,
Banks,1120,Al Rajhi Bank,22/10/2012,42.11,42.27,41.95,41.88,-0.30,-0.71,2492467,104970537.25,613,
Banks,1120,Al Rajhi Bank,23/10/2012,41.95,41.95,41.46,41.73,-0.15,-0.36,1966664,82007931.25,696,
Banks,1120,Al Rajhi Bank,24/10/2012,41.62,42.11,41.62,42.18,0.45,1.08,1152038,48332291.5,489,
Banks,1120,Al Rajhi Bank,03/11/2012,41.95,42.11,41.95,41.88,-0.30,-0.71,751663,31593535,437,
Banks,1120,Al Rajhi Bank,04/11/2012,41.95,41.95,41.62,41.73,-0.15,-0.36,958574,40049376.5,555,
Banks,1120,Al Rajhi Bank,05/11/2012,41.79,42.11,41.79,41.88,0.15,0.36,1476202,61890095.5,629,
Banks,1120,Al Rajhi Bank,06/11/2012,41.95,42.11,41.95,42.03,0.15,0.36,1644337,69101919.75,601,
Banks,1120,Al Rajhi Bank,07/11/2012,41.95,42.27,41.95,42.18,0.15,0.36,1722020,72603604.75,629,
Banks,1120,Al Rajhi Bank,10/11/2012,41.95,41.95,41.79,41.88,-0.30,-0.71,1461496,61171081.5,550,
Banks,1120,Al Rajhi Bank,11/11/2012,41.95,41.95,41.79,41.73,-0.15,-0.36,1444122,60471138.25,613,
Banks,1120,Al Rajhi Bank,12/11/2012,41.79,41.95,41.62,41.58,-0.15,-0.36,1560449,65191499.25,688,
Banks,1120,Al Rajhi Bank,13/11/2012,41.62,41.95,41.62,41.73,0.15,0.36,1602250,67028718,644,
Banks,1120,Al Rajhi Bank,14/11/2012,41.95,41.95,41.79,41.88,0.15,0.36,1330487,55637801.25,583,
Banks,1120,Al Rajhi Bank,17/11/2012,41.95,41.95,41.46,41.58,-0.30,-0.72,1918276,79778779.75,693,
